,Sample Result (ppb),Address,Analyze Date,geometry,x,y
0,1.0,2000 FORBES AVE ,1/10/2020,POINT (-79.9776316914184 40.4371984075409),-79.9776316914184,40.4371984075409
1,1.0,2000 FORBES AVE ,1/10/2020,POINT (-79.9776316914184 40.4371984075409),-79.9776316914184,40.4371984075409
2,1.0,2100 ROCKLEDGE ST,1/10/2020,POINT (-79.9899234708865 40.4673751920085),-79.9899234708865,40.4673751920085
3,1.0,2100 WIGHTMAN,1/10/2020,POINT (nan nan),,
4,2.0,2200 SALISBURY ST,1/10/2020,POINT (-79.97539211473629 40.4192769548367),-79.9753921147363,40.4192769548367
5,3.0,2200 WIGHTMAN,1/10/2020,POINT (nan nan),,
6,1.0,2400 COBDEN ST,1/10/2020,POINT (-79.97234957949701 40.4200442358885),-79.972349579497,40.4200442358885
7,1.0,3200 BEECHWOOD BLVD,1/10/2020,POINT (-79.9230315350503 40.4189227895578),-79.9230315350503,40.4189227895578
8,1.0,3400 LIGONIER ST,1/10/2020,POINT (-79.96626905211291 40.462088420491),-79.9662690521129,40.462088420491
9,9.0,4100 STANLEY ST,1/10/2020,POINT (-79.94399500864481 40.4243840045347),-79.9439950086448,40.4243840045347
10,7.0,4200 KELLER WAY,1/10/2020,POINT (nan nan),,
11,1.0,4200 GLEN LYTLE RD,1/10/2020,POINT (-79.9372037846953 40.4232466640369),-79.9372037846953,40.4232466640369
12,1.0,4300 GLEN LYTLE RD,1/10/2020,POINT (-79.9384225068014 40.4205441857744),-79.9384225068014,40.4205441857744
13,1.0,4300 LYDIA ST,1/10/2020,POINT (-79.9416976640087 40.4215183815129),-79.9416976640087,40.4215183815129
14,1.0,4600 PARNELL ST,1/10/2020,POINT (-79.9412991955822 40.4154987947776),-79.9412991955822,40.4154987947776
15,1.0,4600 CARLTON,1/10/2020,POINT (nan nan),,
16,1.0,5000 PENN AVE ,1/10/2020,POINT (-79.9439027251922 40.465339162354),-79.9439027251922,40.465339162354
17,1.0,5200 STANTON,1/10/2020,POINT (nan nan),,
